"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.867190106E2,6.166995654E1,2.359740286E1,1.199042497E2,1.635652293E0,0.000000000E0,4.748651344E0,6.759998166E0
1.877190071E2,6.166997632E1,2.359740286E1,1.199692979E2,1.638643847E0,0.000000000E0,4.748651300E0,6.812733874E0
1.887190031E2,6.166999859E1,2.359740286E1,1.199825798E2,1.677475351E0,0.000000000E0,4.748651342E0,6.728832534E0
1.897190006E2,6.167001884E1,2.359740286E1,1.200447887E2,1.633685985E0,0.000000000E0,4.748651337E0,6.904352405E0
1.907189965E2,6.167003839E1,2.359740286E1,1.195775129E2,1.660798783E0,0.000000000E0,4.748651277E0,7.051936889E0
1.917189951E2,6.167005898E1,2.359740286E1,1.195326112E2,1.650119490E0,0.000000000E0,4.748651257E0,7.235447855E0
1.927189900E2,6.167007958E1,2.359740286E1,1.193042894E2,1.640906697E0,0.000000000E0,4.748651265E0,7.055117041E0
1.937189869E2,6.167010171E1,2.359740518E1,1.194341143E2,1.653801105E0,0.000000000E0,4.748651279E0,6.989042655E0
1.947189851E2,6.167012463E1,2.359741061E1,1.198945762E2,1.650696673E0,0.000000000E0,4.748651324E0,7.214059136E0
1.957189816E2,6.167014641E1,2.359741576E1,1.201859732E2,1.644724497E0,0.000000000E0,4.748651340E0,6.968414486E0
1.967189798E2,6.167016641E1,2.359742027E1,1.201362623E2,1.617464187E0,0.000000000E0,4.748651349E0,6.783206908E0
1.977189767E2,6.167018505E1,2.359742174E1,1.201098537E2,1.624721086E0,0.000000000E0,4.748651312E0,6.816653650E0
1.987189734E2,6.167020297E1,2.359742174E1,1.200224905E2,1.654858867E0,0.000000000E0,4.748651351E0,7.296681376E0
1.997189716E2,6.167021678E1,2.359742174E1,1.205889216E2,1.636614165E0,0.000000000E0,4.748651382E0,7.704085984E0
2.007189695E2,6.167023025E1,2.359742175E1,1.207120036E2,1.664766764E0,3.589869995E2,4.748651391E0,7.987323471E0
2.017189671E2,6.167024221E1,2.359742131E1,1.210391942E2,1.608418353E0,3.589869995E2,4.748651408E0,7.953690671E0
2.027189643E2,6.167024565E1,2.359742118E1,1.206368996E2,1.581740152E0,3.589869995E2,4.748651427E0,7.380505615E0
2.037189620E2,6.167024449E1,2.359742122E1,1.205341087E2,1.522141802E0,3.589869995E2,4.748651469E0,6.878999244E0
2.047189603E2,6.167024293E1,2.359744007E1,1.203830007E2,1.492328791E0,8.824648687E1,4.748651465E0,6.876605495E0
