"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.686039792E0,2.210902112E0,-1.212610200E-1,-1.135034021E0
1.696011792E0,2.272967675E0,-1.018389085E-1,-1.326673590E0
1.705982792E0,2.362912762E0,-1.403293750E-1,-1.568506828E0
1.715954792E0,2.417770755E0,-2.686520773E-1,-1.842431340E0
1.725925792E0,2.397787311E0,-4.317744836E-1,-2.211918651E0
1.735896792E0,2.256129741E0,-3.961681563E-1,-2.551902081E0
1.745868792E0,1.979188651E0,-3.218649557E-1,-2.808737521E0
1.755839792E0,1.657634474E0,-3.913605756E-1,-2.968841887E0
1.765811792E0,1.422707090E0,-6.049146321E-1,-3.158637829E0
1.775782792E0,1.289997514E0,-8.250000286E-1,-3.291332202E0
1.785754792E0,1.167657829E0,-9.473299196E-1,-3.286885394E0
1.795725792E0,1.045089006E0,-9.588059574E-1,-3.267364465E0
1.805696792E0,9.074526398E-1,-7.745230624E-1,-3.267915273E0
1.815668792E0,8.066141899E-1,-5.741992083E-1,-3.236014034E0
1.825639792E0,7.736958276E-1,-4.286181566E-1,-3.215169294E0
1.835611792E0,7.443607852E-1,-3.637187406E-1,-3.291491246E0
1.845582792E0,6.438388158E-1,-3.868953493E-1,-3.413082926E0
1.855554792E0,4.445379321E-1,-3.520099837E-1,-3.531500153E0
1.865525792E0,1.886269012E-1,-2.170240867E-1,-3.614218959E0
1.875496792E0,-2.075330324E-2,7.180965543E-3,-3.665393790E0
1.885468792E0,-9.036780428E-2,2.048370275E-1,-3.687015624E0
1.895439792E0,-1.690525062E-1,4.129075652E-1,-3.434757970E0
1.905411792E0,-2.635696409E-1,6.342536214E-1,-3.079841920E0
1.915382792E0,-3.852912023E-1,7.441312820E-1,-2.677697909E0
1.925354792E0,-5.028127451E-1,8.276944256E-1,-2.191342884E0
1.935325792E0,-5.420351003E-1,9.337810439E-1,-1.767900975E0
1.945296792E0,-5.059331118E-1,1.073143874E0,-1.417023597E0
1.955268792E0,-4.808919722E-1,1.259795769E0,-1.202410902E0
1.965239792E0,-4.763307054E-1,1.493294093E0,-1.034857183E0
1.975211792E0,-3.962950408E-1,1.796787974E0,-8.931686229E-1
1.985182792E0,-3.148675928E-1,2.122776679E0,-8.349198300E-1
1.995154792E0,-2.624202976E-1,2.392002076E0,-9.394581056E-1
2.005125792E0,-2.547299665E-1,2.490783475E0,-1.149268482E0
2.015097792E0,-3.073526416E-1,2.485472741E0,-1.191079583E0
2.025068792E0,-4.801682696E-1,2.395066017E0,-1.064694355E0
2.035039792E0,-6.621420626E-1,2.264510263E0,-8.167753351E-1
2.045011792E0,-7.127733222E-1,2.127928661E0,-5.427344638E-1
2.054982792E0,-7.563065006E-1,2.000358202E0,-2.188261986E-1
2.064954792E0,-7.850331402E-1,1.919966296E0,1.354232687E-1
2.074925792E0,-8.166847032E-1,1.867614713E0,5.201952016E-1
2.084897792E0,-8.238448381E-1,1.840259976E0,1.036880320E0
2.094868792E0,-8.108488896E-1,1.788555679E0,1.644133546E0
2.104839792E0,-9.650181124E-1,1.645729836E0,2.159498363E0
2.114811792E0,-1.322902721E0,1.412757468E0,2.491151265E0
2.124782792E0,-1.548238478E0,1.186769015E0,2.559516910E0
2.134754792E0,-1.557907872E0,1.048424478E0,2.383669501E0
2.144725792E0,-1.449983036E0,1.076620921E0,2.192080802E0
2.154697792E0,-1.320952674E0,1.310983464E0,2.117552192E0
2.164668792E0,-1.233554927E0,1.638045717E0,2.165013456E0
2.174641792E0,-1.127946245E0,1.878569471E0,2.400355116E0
2.184612792E0,-9.554490709E-1,1.941867335E0,2.797628396E0
2.194583792E0,-7.475409396E-1,1.757409023E0,3.381969892E0
2.204555792E0,-5.976600648E-1,1.245863900E0,4.244430692E0
2.214526792E0,-6.902102327E-1,4.884781498E-1,5.250993783E0
2.224498792E0,-8.690091703E-1,-3.215781498E-1,6.058688977E0
2.234469792E0,-1.022885448E0,-1.066873905E0,6.418079317E0
2.244441792E0,-1.142405751E0,-1.497439477E0,6.231827372E0
2.254412792E0,-1.042977650E0,-1.667664496E0,5.390611845E0
2.264383792E0,-9.323854597E-1,-1.551146737E0,4.260932704E0
2.274355792E0,-9.047414321E-1,-1.098012375E0,3.143166681E0
2.284326792E0,-9.346687974E-1,-6.066109094E-1,2.213327245E0
2.294298792E0,-8.540808633E-1,-2.850391915E-1,1.691550372E0
2.304269792E0,-5.038946262E-1,-2.701334694E-1,1.511442681E0
2.314241792E0,-6.741580177E-2,-5.586049765E-1,1.527258815E0
2.324212792E0,1.666459385E-1,-9.041049626E-1,1.586559522E0
2.334184792E0,1.137841123E-1,-1.275107872E0,1.620838823E0
2.344155792E0,-4.452588938E-2,-1.609965341E0,1.537594938E0
2.354126792E0,-1.119200565E-1,-1.907086342E0,1.153683130E0
2.364098792E0,-1.014914742E-1,-2.118531600E0,5.255793178E-1
2.374069792E0,-1.270358764E-1,-2.128982913E0,-2.417934769E-1
2.384041792E0,-1.649300730E-1,-1.905240668E0,-9.153623146E-1
2.394012792E0,-8.873917200E-2,-1.538037864E0,-1.409853741E0
2.403984792E0,9.770510975E-2,-1.163871611E0,-1.738542105E0
2.413955792E0,2.277042454E-1,-9.506841749E-1,-1.969933385E0
2.423926792E0,1.816207308E-1,-9.122890180E-1,-2.076767862E0
2.433898792E0,1.337319981E-1,-1.010674269E0,-2.157121469E0
2.443869792E0,1.512145516E-1,-1.166425967E0,-2.316737593E0
2.453841792E0,2.182237892E-1,-1.337332479E0,-2.563449748E0
2.463812792E0,1.997910266E-1,-1.451958956E0,-2.926689894E0
2.473784792E0,1.296688776E-1,-1.521991935E0,-3.280357563E0
2.483755792E0,4.019522220E-2,-1.518893496E0,-3.581071093E0
2.493727792E0,-2.509171799E-2,-1.423568970E0,-3.595661066E0
2.503698792E0,6.670211256E-3,-1.278482300E0,-3.364915318E0
2.513669792E0,1.143716113E-1,-1.123278193E0,-3.044038249E0
2.523641792E0,2.768041557E-1,-9.398583475E-1,-2.721054429E0
2.533612792E0,3.574552763E-1,-8.053893444E-1,-2.374855993E0
2.543584792E0,3.434234937E-1,-7.265203455E-1,-1.997945641E0
2.553555792E0,3.132760537E-1,-6.405700761E-1,-1.835797089E0
2.563527792E0,3.458236295E-1,-4.307825035E-1,-1.860681084E0
2.573498792E0,4.454661776E-1,-1.286697346E-1,-1.818958862E0
2.583469792E0,4.471487139E-1,-2.850020617E-2,-1.746914148E0
2.593441792E0,3.462661175E-1,-1.557414660E-1,-1.667993694E0
2.603412792E0,2.391170236E-1,-3.262284404E-1,-1.548365509E0
2.613384792E0,5.381605525E-2,-4.269405904E-1,-1.278622926E0
2.623355792E0,-5.995279944E-2,-4.172602326E-1,-8.511288965E-1
2.633327792E0,2.070926640E-2,-3.684359819E-1,-3.302267665E-1
2.643298792E0,2.214534439E-1,-2.659760991E-1,1.299724942E-1
2.653270792E0,4.180399222E-1,-1.192235577E-1,3.780318475E-1
2.663241792E0,6.726316021E-1,9.407439083E-2,4.647390389E-1
2.673212792E0,9.206515597E-1,2.683310652E-1,4.404192996E-1
2.683184792E0,9.371492594E-1,3.503528827E-1,2.515273368E-1
2.693155792E0,9.646897913E-1,4.333798367E-1,8.948578835E-2
2.703127792E0,9.690748376E-1,5.884731388E-1,2.960392660E-1
2.713098792E0,1.064455789E0,6.545133466E-1,7.228737295E-1
2.723070792E0,1.164675676E0,5.609485406E-1,1.252529726E0
